mktrf,smb,hml,rmw,cma,rf,umd,dateff
0.042100,-0.005100,0.050100,-0.011400,0.021300,0.00290,-0.072400,1988-01-29
0.047500,0.033200,-0.017100,0.015600,-0.000100,0.00460,-0.014700,1988-02-29
-0.022700,0.062500,0.007300,-0.002500,0.018000,0.00440,0.005800,1988-03-31
0.005600,0.011600,0.016700,-0.002000,0.019200,0.00460,0.022400,1988-04-29
-0.002900,-0.025600,0.024200,-0.007400,0.003300,0.00510,0.006300,1988-05-31
0.047900,0.021600,-0.012400,0.014700,-0.033700,0.00490,-0.029300,1988-06-30
-0.012500,-0.002100,0.022200,-0.005800,0.015200,0.00510,0.006600,1988-07-29
-0.033100,-0.000300,0.021500,-0.008200,0.017600,0.00590,0.003500,1988-08-31
0.033000,-0.013600,-0.007500,0.017600,-0.006100,0.00620,0.002700,1988-09-30
0.011500,-0.029500,0.020500,0.013000,0.010300,0.00610,0.013300,1988-10-31
-0.022900,-0.016500,0.014100,-0.002800,0.016200,0.00570,0.003300,1988-11-30
0.014900,0.020100,-0.016900,0.006900,-0.003800,0.00630,0.004900,1988-12-30
0.061000,-0.023100,0.006000,-0.009500,0.001400,0.00550,-0.001600,1989-01-31
-0.022500,0.027100,0.010100,-0.008700,0.018100,0.00610,0.009900,1989-02-28
0.015700,0.006800,0.005800,0.000500,0.007200,0.00670,0.035100,1989-03-31
0.043300,-0.007800,-0.014200,0.007100,-0.005700,0.00670,0.017700,1989-04-28
0.033500,-0.000100,-0.008800,0.004900,-0.000800,0.00790,0.015200,1989-05-31
